timestamp,temperature,ph,turbidity,turbidity_target
2026-08-21 14:00:00+00:00,,,0,1
2026-08-21 15:00:00+00:00,,,0,1
2026-08-21 16:00:00+00:00,,,0,1
2026-08-21 17:00:00+00:00,,,0,1
2026-08-21 18:00:00+00:00,,,0,1
2026-08-21 19:00:00+00:00,,,0,1
2026-08-21 20:00:00+00:00,,,0,1
2026-08-21 21:00:00+00:00,,,0,1
2026-08-21 22:00:00+00:00,,,0,1
2026-08-21 23:00:00+00:00,,,0,1
2026-08-22 00:00:00+00:00,,,0,1
2026-08-22 01:00:00+00:00,,,0,1
2026-08-22 02:00:00+00:00,,,0,1
2026-08-22 03:00:00+00:00,,,0,1
2026-08-22 04:00:00+00:00,,,1,0
2026-08-22 05:00:00+00:00,,,1,0
2026-08-22 06:00:00+00:00,,,1,0
2026-08-22 07:00:00+00:00,,,1,0
2026-08-22 08:00:00+00:00,,,1,0
2026-08-22 09:00:00+00:00,,,0,1
2026-08-22 10:00:00+00:00,,,0,1
2026-08-22 11:00:00+00:00,,,0,1
2026-08-22 12:00:00+00:00,,,0,1
2026-08-22 13:00:00+00:00,,,0,1
2026-08-22 14:00:00+00:00,,,0,1
2026-08-22 15:00:00+00:00,,,0,1
2026-08-22 16:00:00+00:00,,,0,1
2026-08-22 17:00:00+00:00,,,0,1
2026-08-22 18:00:00+00:00,,,0,1
2026-08-22 19:00:00+00:00,,,0,1
2026-08-22 20:00:00+00:00,,,0,1
2026-08-22 21:00:00+00:00,,,0,1
2026-08-22 22:00:00+00:00,,,0,1
2026-08-22 23:00:00+00:00,,,0,1
2026-08-23 00:00:00+00:00,,,0,1
2026-08-23 01:00:00+00:00,,,0,1
2026-08-23 02:00:00+00:00,,,0,1
2026-08-23 03:00:00+00:00,,,1,0
2026-08-23 04:00:00+00:00,,,1,0
2026-08-23 05:00:00+00:00,,,1,0
2026-08-23 06:00:00+00:00,,,1,0
2026-08-23 07:00:00+00:00,,,1,0
2026-08-23 08:00:00+00:00,,,1,0
2026-08-23 09:00:00+00:00,,,1,0
2026-08-23 10:00:00+00:00,,,1,0
2026-08-23 11:00:00+00:00,,,1,0
2026-08-23 12:00:00+00:00,,,0,1
2026-08-23 13:00:00+00:00,,,0,1
2026-08-23 14:00:00+00:00,,,0,1
2026-08-23 15:00:00+00:00,,,0,1
2026-08-23 16:00:00+00:00,,,1,0
2026-08-23 17:00:00+00:00,,,1,0
2026-08-23 18:00:00+00:00,,,1,0
2026-08-23 19:00:00+00:00,,,1,0
2026-08-23 20:00:00+00:00,,,1,0
2026-08-23 21:00:00+00:00,,,1,0
2026-08-23 22:00:00+00:00,,,1,0
2026-08-23 23:00:00+00:00,,,1,0
2026-08-24 00:00:00+00:00,,,1,0
2026-08-24 01:00:00+00:00,,,1,0
2026-08-24 02:00:00+00:00,,,1,0
2026-08-24 03:00:00+00:00,,,1,0
2026-08-24 04:00:00+00:00,,,1,0
2026-08-24 05:00:00+00:00,,,1,0
2026-08-24 06:00:00+00:00,,,1,0
2026-08-24 07:00:00+00:00,,,1,0
2026-08-24 08:00:00+00:00,29.22219629,5.735961111,1,0
2026-08-24 09:00:00+00:00,27.50804094,4.649680409,0,1
2026-08-24 10:00:00+00:00,30.64144737,4.099805526,1,0
2026-08-24 11:00:00+00:00,30.35911017,4.200125763,1,0
2026-08-24 12:00:00+00:00,28.43114407,4.205691864,1,0
2026-08-24 13:00:00+00:00,27.25765306,4.656219184,1,0
